,Unnamed: 0,entity_type,entity,demographic,demographic_type,variable,value,statement_id,statement,subscale,entity_first_x,entity_id,entity_parent,entity_first_y
72,823.0,E,GATEWAY ELEMENTARY,ELL,ELL,1,21.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
73,824.0,E,GATEWAY ELEMENTARY,Former ELL,ELL,1,36.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
74,825.0,E,GATEWAY ELEMENTARY,Not ELL,ELL,1,36.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
75,1071.0,E,GATEWAY ELEMENTARY,ELL,ELL,2,11.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
76,1072.0,E,GATEWAY ELEMENTARY,Former ELL,ELL,2,25.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
77,1073.0,E,GATEWAY ELEMENTARY,Not ELL,ELL,2,35.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
78,1319.0,E,GATEWAY ELEMENTARY,ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
79,1320.0,E,GATEWAY ELEMENTARY,Former ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
80,1321.0,E,GATEWAY ELEMENTARY,Not ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
81,1567.0,E,GATEWAY ELEMENTARY,ELL,ELL,disagree,5.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
82,1568.0,E,GATEWAY ELEMENTARY,Former ELL,ELL,disagree,8.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
83,1569.0,E,GATEWAY ELEMENTARY,Not ELL,ELL,disagree,13.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
84,1815.0,E,GATEWAY ELEMENTARY,ELL,ELL,neutral,4.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
85,1816.0,E,GATEWAY ELEMENTARY,Former ELL,ELL,neutral,15.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
86,1817.0,E,GATEWAY ELEMENTARY,Not ELL,ELL,neutral,16.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
87,2063.0,E,GATEWAY ELEMENTARY,ELL,ELL,agree,32.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
88,2064.0,E,GATEWAY ELEMENTARY,Former ELL,ELL,agree,61.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
89,2065.0,E,GATEWAY ELEMENTARY,Not ELL,ELL,agree,71.0,Q34,The atmosphere at this school is positive,School Climate,GATEWAY,1226,OPS,GATEWAY
90,155.0,E,SKINNER MAGNET CENTER,ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
91,156.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
92,157.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,-2,8.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
93,403.0,E,SKINNER MAGNET CENTER,ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
94,404.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,-1,1.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
95,405.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,-1,13.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
96,651.0,E,SKINNER MAGNET CENTER,ELL,ELL,0,2.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
97,652.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,0,1.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
98,653.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,0,33.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
99,899.0,E,SKINNER MAGNET CENTER,ELL,ELL,1,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
100,900.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,1,2.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
101,901.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,1,22.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
102,1147.0,E,SKINNER MAGNET CENTER,ELL,ELL,2,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
103,1148.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,2,1.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
104,1149.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,2,15.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
105,1395.0,E,SKINNER MAGNET CENTER,ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
106,1396.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
107,1397.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
108,1643.0,E,SKINNER MAGNET CENTER,ELL,ELL,disagree,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
109,1644.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,disagree,1.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
110,1645.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,disagree,21.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
111,1891.0,E,SKINNER MAGNET CENTER,ELL,ELL,neutral,2.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
112,1892.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,neutral,1.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
113,1893.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,neutral,33.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
114,2139.0,E,SKINNER MAGNET CENTER,ELL,ELL,agree,0.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
115,2140.0,E,SKINNER MAGNET CENTER,Former ELL,ELL,agree,3.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
