,school,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted
79,Morton Magnet,2013-2014,101,341,13,0,40,45,0.0,0,3.0,56,68,0.0,15,19
80,Mount View Elementary*,2013-2014,387,140,28,3,270,38,10.0,0,38.0,349,359,6.0,68,41
81,Norris Middle,2013-2014,164,262,126,2,10,24,1.0,0,1.0,140,147,28.0,26,16
82,Oak Valley Elementary*,2013-2014,296,457,94,2,63,116,3.0,2,16.0,180,226,73.0,88,36
83,Pawnee Elementary,2013-2014,432,502,178,1,41,192,6.0,0,14.0,240,289,111.0,30,86
84,Picotte Elementary,2013-2014,523,286,33,1,48,379,24.0,0,38.0,144,142,13.0,97,141
85,Pinewood Elementary*,2013-2014,272,161,26,1,125,95,10.0,1,14.0,177,192,5.0,48,41
86,Ponca Elementary,2013-2014,150,690,22,0,9,112,1.0,0,6.0,38,80,7.0,27,25
87,Prairie Wind Elementary,2013-2014,698,551,65,6,209,324,26.0,0,68.0,374,412,34.0,101,106
88,Rose Hill Elementary,2013-2014,328,330,45,4,69,116,81.0,0,13.0,212,259,83.0,50,50
89,Saddlebrook Elementary,2013-2014,465,490,32,3,33,352,16.0,0,29.0,113,38,5.0,71,101
90,Saratoga Elementary*,2013-2014,200,195,14,8,135,24,2.0,0,17.0,176,192,6.0,35,22
91,Sherman Elementary*,2013-2014,236,235,113,3,12,94,0.0,6,8.0,142,217,46.0,53,23
92,Skinner Magnet,2013-2014,432,398,65,7,279,39,13.0,2,27.0,393,391,26.0,74,64
93,Spring Lake Magnet*,2013-2014,815,746,661,8,27,103,3.0,0,13.0,712,721,449.0,99,88
94,Springville Elementary,2013-2014,417,444,40,9,106,190,20.0,4,48.0,227,182,16.0,42,81
95,Standing Bear Elementary*,2013-2014,553,570,43,1,47,396,33.0,0,33.0,157,133,19.0,78,106
96,Sunny Slope Elementary*,2013-2014,484,484,58,2,142,238,9.0,3,32.0,246,289,22.0,81,82
97,Wakonda Elementary*,2013-2014,352,302,25,8,240,43,9.0,2,25.0,309,320,11.0,73,28
98,Walnut Hill Elementary,2013-2014,453,447,104,7,155,65,98.0,0,24.0,388,433,155.0,43,69
99,Washington Elementary*,2013-2014,309,291,69,3,48,167,11.0,0,11.0,142,165,28.0,74,59
100,Western Hills Magnet,2013-2014,413,394,49,0,155,175,5.0,0,29.0,238,332,32.0,83,70
101,Wilson Focus School,2013-2014,189,197,20,0,70,85,6.0,1,7.0,104,102,8.0,33,56
102,Early Childhood Center @ Gateway,2013-2014,57,,36,1,4,11,1.0,0,4.0,46,46,0.0,22,0
103,Early Childhood Educare @ Conestoga,2013-2014,8,,0,0,6,2,0.0,0,0.0,6,8,0.0,0,0
104,Early Childhood Educare @ Kellom,2013-2014,141,,28,0,84,15,1.0,0,13.0,126,141,0.0,14,0
105,Early Childhood Educare @ Indian Hill,2013-2014,190,,163,0,6,13,1.0,2,5.0,177,190,0.0,17,0
106,Early Childhood@ Yates,2013-2014,55,,15,8,1,4,22.0,0,5.0,51,46,0.0,11,0
107,Homebased PK*,2013-2014,259,,66,0,33,134,3.0,2,21.0,125,0,0.0,234,0
108,Homebound,2013-2014,5,,2,0,0,3,0.0,0,0.0,2,5,0.0,5,2
109,Integrated Learning Program at DH,2013-2014,22,,1,2,8,8,0.0,0,3.0,14,22,0.0,22,0
110,Interim/Contracted Elementary,2013-2014,41,,11,0,19,10,0.0,0,1.0,31,16,0.0,41,0
111,"Lord, JP",2013-2014,27,,10,1,7,7,2.0,0,0.0,20,21,0.0,27,0
112,Parrish Elementary,2013-2014,0,,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0
