,person_id,entity_id,number
201,10202,1998,1
202,10203,1998,1
203,10204,1013,1
204,10205,1013,1
205,10206,1165,2
206,10207,1214,12
207,10208,1175,17
208,10209,1175,15
209,10210,1175,33
210,10211,1185,14
211,10212,1095,9
212,10213,1109,2
213,10214,1111,2
214,10215,1111,2
215,10216,1111,1
216,10217,1111,1
217,10218,1111,1
218,10219,1111,1
219,10220,1111,1
220,10221,1111,1
221,10222,1111,19
222,10223,1111,1
223,10224,1111,1
224,10225,1111,1
225,10226,1111,1
226,10227,1111,1
227,10228,1111,1
228,10229,1111,1
229,10230,1111,1
230,10231,1111,1
231,10232,1111,1
232,10233,1111,1
233,10234,1111,1
234,10235,1111,1
235,10236,1067,30
236,10236,1111,2
237,10237,1111,1
238,10238,1111,1
239,10239,1111,1
240,10240,1111,1
241,10241,1111,1
242,10242,1111,3
243,10243,1111,2
244,10244,1111,1
245,10245,1111,1
246,10246,1111,1
247,10247,1111,1
248,10248,1111,1
249,10249,1111,1
250,10250,1111,1
251,10251,1111,1
252,10252,1111,1
253,10253,1111,1
254,10254,1111,1
255,10255,1111,2
256,10256,1111,1
257,10257,1022,8
258,10258,1107,25
259,10259,1998,16
260,10260,1999,17
261,10261,1999,32
262,10262,1999,15
263,10263,1063,9
264,10264,1009,2
265,10265,1998,2
266,10266,1999,3
267,10267,1998,3
268,10268,1001,32
269,10269,1003,10
270,10270,1079,1
271,10271,1103,14
272,10272,1103,39
273,10273,1103,39
274,10274,1103,43
275,10275,1103,24
276,10276,1109,32
277,10277,1113,9
278,10278,1121,8
279,10279,1127,7
280,10280,1127,30
281,10281,1029,58
282,10282,1037,3
283,10283,1039,19
284,10284,1023,41
285,10285,1041,14
286,10286,1041,15
287,10287,1041,1
288,10288,1998,35
289,10289,1051,46
290,10290,1209,46
291,10291,1175,17
292,10292,1175,16
293,10293,1308,8
294,10294,1225,11
295,10295,1019,5
296,10296,1045,22
297,10297,1125,52
298,10298,1125,14
299,10299,1143,17
300,10300,1051,30
301,10301,1033,3
302,10302,1175,8
303,10305,1111,2
304,10307,1998,1
305,10308,1009,5
306,10309,1103,1
307,10310,1029,24
308,10311,1204,43
309,10312,1063,72
310,10313,1063,32
311,10314,1063,69
312,10315,1067,15
