,Unnamed: 16,Unnamed: 17,Unnamed: 18,amer_indian,asian,black,ell,frl,gifted,hispanic,multi_racial,pac_islander,projected_enroll,school,school_year,spec_ed,total_enroll,total_minority,white
51,,,,7.0,0.0,129.0,223.0,,,,21.0,1.0,,Indian Hill Elementary*,2015-2016,88.0,,,
52,,,,2.0,0.0,49.0,1.0,,,,9.0,0.0,,Integrated Learning Program at DH,2015-2016,112.0,,,
53,,,,,,,,,,,,,,Interim/Contracted Elementary,2015-2016,35.0,,,
54,,,,10.0,2.0,96.0,1.0,,,,12.0,0.0,,Interim/Contracted Secondary,2015-2016,99.0,,,
55,,,,1.0,2.0,14.0,,,,,2.0,0.0,,J P Lord,2015-2016,28.0,,,
56,,,,0.0,7.0,9.0,113.0,,,,3.0,0.0,,Jackson Elementary*,2015-2016,27.0,,,
57,,,,3.0,6.0,32.0,140.0,,,,18.0,0.0,,Jefferson Elementary,2015-2016,86.0,,,
58,,,,3.0,46.0,95.0,41.0,,,,47.0,1.0,,Joslyn Elementary*,2015-2016,65.0,,,
59,,,,9.0,33.0,189.0,107.0,,,,17.0,0.0,,Kellom Elementary*,2015-2016,64.0,,,
60,,,,2.0,92.0,143.0,65.0,,,,12.0,0.0,,Kennedy Elementary*,2015-2016,41.0,,,
61,,,,7.0,16.0,219.0,32.0,,,,37.0,0.0,,King Elementary*,2015-2016,70.0,,,
62,,,,5.0,8.0,244.0,5.0,,,,36.0,0.0,,King Science Magnet,2015-2016,107.0,,,
63,,,,10.0,100.0,242.0,84.0,,,,33.0,0.0,,Lewis & Clark Middle,2015-2016,143.0,,,
64,,,,5.0,4.0,132.0,288.0,,,,17.0,1.0,,Liberty Elementary*,2015-2016,113.0,,,
65,,,,,,,,,,,,,,"Lord, JP",2015-2016,30.0,,,
66,,,,2.0,4.0,191.0,17.0,,,,29.0,0.0,,Lothrop Magnet Elementary*,2015-2016,56.0,,,
67,,,,22.0,2.0,43.0,180.0,,,,16.0,0.0,,Marrs Magnet,2015-2016,190.0,,,
68,,,,2.0,8.0,104.0,15.0,,,,24.0,0.0,,Masters Elementary,2015-2016,73.0,,,
69,,,,7.0,8.0,222.0,6.0,,,,28.0,3.0,,McMillan Magnet,2015-2016,111.0,,,
70,,,,4.0,7.0,281.0,16.0,,,,39.0,0.0,,Miller Park Elementary*,2015-2016,70.0,,,
71,,,,3.0,0.0,176.0,9.0,,,,34.0,3.0,,Minne Lusa Elementary*,2015-2016,91.0,,,
72,,,,3.0,113.0,275.0,72.0,,,,43.0,3.0,,Monroe Middle,2015-2016,151.0,,,
73,,,,3.0,9.0,270.0,2.0,,,,36.0,2.0,,Morton Magnet,2015-2016,123.0,,,
74,,,,3.0,25.0,245.0,21.0,,,,47.0,0.0,,Mount View Elementary*,2015-2016,76.0,,,
75,,,,16.0,14.0,80.0,122.0,,,,47.0,0.0,,Norris Middle,2015-2016,264.0,,,
76,,,,12.0,29.0,676.0,6.0,,,,111.0,1.0,,North Magnet,2015-2016,235.0,,,
77,,,,23.0,125.0,641.0,107.0,,,,90.0,3.0,,Northwest High,2015-2016,289.0,,,
78,,,,4.0,4.0,64.0,68.0,,,,14.0,2.0,,Oak Valley Elementary*,2015-2016,80.0,,,
79,,,,0.0,0.0,17.0,3.0,,,,2.0,0.0,,Parrish,2015-2016,9.0,,,
80,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,Parrish Elementary,2015-2016,0.0,,,
81,,,,3.0,8.0,57.0,120.0,,,,15.0,0.0,,Pawnee Elementary,2015-2016,83.0,,,
82,,,,1.0,18.0,41.0,7.0,,,,18.0,0.0,,Picotte Elementary,2015-2016,59.0,,,
83,,,,0.0,21.0,103.0,8.0,,,,15.0,1.0,,Pinewood Elementary*,2015-2016,52.0,,,
84,,,,1.0,1.0,11.0,3.0,,,,12.0,0.0,,Ponca Elementary,2015-2016,21.0,,,
85,,,,4.0,28.0,201.0,47.0,,,,65.0,0.0,,Prairie Wind Elementary,2015-2016,98.0,,,
86,,,,1.0,77.0,50.0,62.0,,,,23.0,0.0,,Rose Hill Elementary,2015-2016,48.0,,,
87,,,,2.0,17.0,62.0,5.0,,,,26.0,1.0,,Saddlebrook Elementary,2015-2016,73.0,,,
88,,,,1.0,14.0,136.0,12.0,,,,10.0,0.0,,Saratoga Elementary*,2015-2016,43.0,,,
89,,,,0.0,0.0,1.0,,,,,1.0,0.0,,Secondary Success Program,2015-2016,1.0,,,
90,,,,2.0,3.0,7.0,57.0,,,,11.0,0.0,,Sherman Elementary*,2015-2016,61.0,,,
91,,,,2.0,11.0,265.0,17.0,,,,26.0,2.0,,Skinner Magnet,2015-2016,68.0,,,
92,,,,38.0,53.0,219.0,224.0,,,,43.0,1.0,,South Magnet,2015-2016,282.0,,,
93,,,,8.0,2.0,20.0,471.0,,,,8.0,0.0,,Spring Lake Magnet*,2015-2016,114.0,,,
94,,,,9.0,26.0,119.0,17.0,,,,56.0,2.0,,Springville Elementary,2015-2016,43.0,,,
95,,,,1.0,37.0,49.0,22.0,,,,54.0,0.0,,Standing Bear Elementary*,2015-2016,64.0,,,
96,,,,3.0,13.0,157.0,19.0,,,,29.0,4.0,,Sunny Slope Elementary*,2015-2016,96.0,,,
97,,,,0.0,0.0,14.0,,,,,3.0,0.0,,Transition Program at Career Center,2015-2016,30.0,,,
98,,,,1.0,0.0,0.0,,,,,0.0,0.0,,Transition Program at Embassy Suites,2015-2016,5.0,,,
99,,,,1.0,1.0,27.0,,,,,3.0,0.0,,Transition Program at PVA,2015-2016,73.0,,,
100,,,,1.0,2.0,9.0,,,,,0.0,0.0,,Transition Program at Saratoga,2015-2016,31.0,,,
101,,,,0.0,1.0,2.0,1.0,,,,3.0,0.0,,UNO/OPS Middle College Program,2015-2016,0.0,,,
102,,,,6.0,25.0,249.0,22.0,,,,21.0,1.0,,Wakonda Elementary*,2015-2016,88.0,,,
103,,,,6.0,129.0,159.0,158.0,,,,30.0,1.0,,Walnut Hill Elementary,2015-2016,40.0,,,
104,,,,8.0,28.0,65.0,43.0,,,,15.0,0.0,,Washington Elementary*,2015-2016,61.0,,,
105,,,,0.0,7.0,146.0,40.0,,,,22.0,0.0,,Western Hills Magnet,2015-2016,91.0,,,
106,,,,1.0,6.0,69.0,13.0,,,,13.0,1.0,,Wilson Focus School,2015-2016,25.0,,,
