,Unnamed: 16,Unnamed: 17,Unnamed: 18,amer_indian,asian,black,ell,frl,gifted,hispanic,multi_racial,pac_islander,projected_enroll,school,school_year,spec_ed,total_enroll,total_minority,white
95,,,,0.0,1.0,0.0,,15.0,6.0,4.0,1.0,0.0,,UNO/OPS Middle College Program,2012-2013,0.0,30.0,6.0,24.0
96,,,,5.0,6.0,223.0,7.0,284.0,12.0,23.0,17.0,1.0,291.0,Wakonda Elementary*,2012-2013,68.0,305.0,275.0,30.0
97,,,,6.0,67.0,161.0,122.0,422.0,40.0,111.0,27.0,0.0,439.0,Walnut Hill Elementary,2012-2013,51.0,438.0,372.0,66.0
98,,,,2.0,12.0,44.0,22.0,162.0,30.0,61.0,11.0,1.0,284.0,Washington Elementary*,2012-2013,62.0,290.0,131.0,159.0
99,,,,1.0,6.0,133.0,32.0,305.0,49.0,47.0,28.0,0.0,378.0,Western Hills Magnet,2012-2013,79.0,391.0,215.0,176.0
100,,,,1.0,3.0,71.0,5.0,92.0,50.0,20.0,5.0,0.0,180.0,Wilson Focus School,2012-2013,21.0,176.0,100.0,76.0
0,,,,9.0,42.0,,10.0,,,,79.0,0.0,,A. Buffett Magnet,2013-2014,,,,
1,,,,2.0,3.0,,8.0,,,,12.0,0.0,,Accelere,2013-2014,,,,
2,,,,6.0,10.0,,34.0,,,,14.0,2.0,,Adams Elementary,2013-2014,,,,
3,,,,11.0,10.0,,257.0,,,,25.0,0.0,,Ashland Park/Robbins*,2013-2014,,,,
